,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Phymatoderma,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0
Atollites,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
Helminthorhaphe,0.0,0.0,5.0,7.0,0.0,0.0,7.0,0.0,1.0,0.0,15.0
Daedalus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cladichnus,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0
Spirodesmos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Lockeia,0.0,6.0,6.0,3.0,0.0,3.0,16.0,0.0,2.0,0.0,0.0
Stelloglyphus,0.0,0.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,0.0,0.0
Scoyenia,0.0,3.0,10.0,22.0,3.0,3.0,14.0,1.0,1.0,0.0,0.0
Cruziana,0.0,0.0,1.0,17.0,17.0,13.0,108.0,15.0,1.0,9.0,17.0
Sinusichnus,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Teichichnus,0.0,0.0,1.0,10.0,5.0,30.0,43.0,6.0,8.0,0.0,2.0
Ancorichnus,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Dreginozoum,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
Urohelminthoida,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Arenituba,0.0,0.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,0.0,0.0
Cochlichnus,0.0,0.0,3.0,3.0,1.0,3.0,11.0,1.0,1.0,0.0,0.0
Polykladichnus,0.0,0.0,6.0,6.0,1.0,3.0,12.0,1.0,1.0,0.0,15.0
