,Steinichnus,Pilichnus,Rhizocorallium,Halimedides,Camborygma,Rebuffoichnus,Phycodes,Archaeonassa,Fictovichnus,Avetoichnus,Rosselia,Bichordites,Lorenzinia,Laevicyclus,Nummipera,Lunulichnus,Spongeliomorpha,Glockerichnus,Cosmorhaphe,Rusophycus,Spirorhaphe,Loloichnus,Heimdallia,Scolicia,Megagrapton,Cardioichnus,Trichichnus,Coprinisphaera,Capodistria,Arenicolites,Helminthopsis,Tasselia,Estrellichnus,Skolithos,Desmograpton,Spirophycus,Treptichnus,Asthenopodichnium,Piscichnus,Macanopsis,Naktodemasis,Diplocraterion,Dictyodora,Cylindrichnus,Osculichnus,Phycosiphon,Polychoredrites,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Helicolithus,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Daimoniobarax,Multina,Teisseirei,Protovirgularia,Alcyonidiopsis,Nereites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Bergaueria,Paradictyodora,Edaphichnium,Asterosoma,Macaronichnus,Entradichnus,Thalassinoides,Psilonichnus,Scaphichnium,Hillichnus,Phymatoderma,Atollites,Helminthorhaphe,Daedalus,Cladichnus,Spirodesmos,Lockeia,Stelloglyphus,Scoyenia,Cruziana,Sinusichnus,Teichichnus,Ancorichnus,Dreginozoum,Urohelminthoida,Arenituba,Cochlichnus,Polykladichnus
Zoophycos,0.0,0.008264462809917356,0.015748031496062992,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.10191082802547771,0.0,0.0,0.14634146341463414,0.0,0.0,0.013986013986013986,0.0072992700729927005,0.04132231404958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.0,0.11382113821138211,0.0,0.03125,0.0,0.14619883040935672,0.007936507936507936,1.0,0.015873015873015872,0.36363636363636365,0.0,0.07207207207207207,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.040983606557377046,0.06289308176100629,0.02158273381294964,0.008264462809917356,0.00625,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.008130081300813009,0.0,0.007462686567164179,0.0,0.0,0.057692307692307696,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
Neonereites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.015873015873015872,1.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chondrites,0.0,0.011235955056179775,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.061224489795918366,0.056179775280898875,0.056179775280898875,0.0,0.0,0.010869565217391304,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.06015037593984962,0.0,0.0,0.18478260869565216,0.0,0.0,0.0660377358490566,0.06,0.044444444444444446,0.0,0.007194244604316547,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.08695652173913043,0.0,0.22388059701492538,0.010638297872340425,0.36363636363636365,0.02127659574468085,1.0,0.0,0.05641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0873015873015873,0.0784313725490196,0.0,0.04878048780487805,0.0,0.021739130434782608,0.0,0.021505376344086023,0.009708737864077669,0.0,0.18811881188118812,0.0,0.0,0.0,0.056179775280898875,0.011235955056179775,0.05555555555555555,0.0,0.01098901098901099,0.0,0.00980392156862745,0.0,0.0,0.015267175572519083,0.0,0.03418803418803419,0.0,0.011235955056179775,0.0,0.0,0.0,0.05555555555555555
Helicolithus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ophiomorpha,0.0,0.0,0.03305785123966942,0.0,0.0,0.0,0.01680672268907563,0.0,0.0,0.0,0.03389830508474576,0.056,0.042735042735042736,0.042735042735042736,0.0,0.0,0.025423728813559324,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.2803030303030303,0.0,0.0,0.0,0.0,0.0,0.08461538461538462,0.12605042016806722,0.008264462809917356,0.0,0.03067484662576687,0.0423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.0,0.11764705882352941,0.0,0.04918032786885246,0.0,0.0847457627118644,0.00819672131147541,0.07207207207207207,0.0,0.05641025641025641,0.0,1.0,0.0,0.008264462809917356,0.0189873417721519,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,0.05343511450381679,0.008547008547008548,0.07534246575342465,0.0,0.008264462809917356,0.0,0.05128205128205128,0.015384615384615385,0.0,0.1452991452991453,0.0,0.0,0.0,0.008264462809917356,0.008547008547008548,0.0423728813559322,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0189873417721519,0.0,0.23140495867768596,0.0,0.008547008547008548,0.0,0.0,0.0,0.0423728813559322
Taenidium,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Monocraterion,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.09803921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
Gyrolithes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189873417721519,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12716763005780346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daimoniobarax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multina,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
