,Gyrochorte,Rhizocorallium,Camborygma,Phycodes,Archaeonassa,Rosselia,Laevicyclus,Rusophycus,Heimdallia,Scolicia,Syringomorpha,Ptychoplasma,Trichichnus,Arenicolites,Helminthopsis,Skolithos,Treptichnus,Torrowangea,Bifungites,Vagorichnus,Diplocraterion,Dictyodora,Cylindrichnus,Furnasichnus,Planolites,Curvolithus,Zoophycos,Neonereites,Chondrites,Trichophycus,Didymaulyponomos,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Nereites,Beaconites,Palaeophycus,Paleodictyon,Conostichus,Polarichnus,Arthrophycus,Entradichnus,Thalassinoides,Keilorites,Diplichnites,Cylindricum,Daedalus,Yangziichnus,Oikobesalon,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Teichichnus,Margaritichnus,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Planolites,0.0,0.0,0.0,0.02702702702702703,0.0,0.11428571428571428,0.0,0.08,0.0,0.0,0.0,0.030303030303030304,0.02857142857142857,0.023255813953488372,0.02564102564102564,0.1794871794871795,0.0,0.0,0.030303030303030304,0.0,0.023809523809523808,0.0,0.02857142857142857,0.030303030303030304,1.0,0.0,0.0625,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.045454545454545456,0.20454545454545456,0.0,0.0,0.0,0.24242424242424243,0.018867924528301886,0.0,0.3617021276595745,0.0,0.0,0.0,0.08108108108108109,0.0,0.018518518518518517,0.0,0.15,0.09090909090909091,0.0,0.09090909090909091,0.0,0.024390243902439025,0.1111111111111111,0.0,0.06862745098039216,0.058823529411764705,0.0,0.030303030303030304,0.0,0.0,0.15151515151515152
Curvolithus,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Zoophycos,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,1.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.06451612903225806,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
Neonereites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chondrites,0.0,0.037037037037037035,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.023255813953488372,0.0,0.0,0.0,0.0,0.08333333333333333,0.21428571428571427,0.07142857142857142,0.05128205128205128,0.0,0.0,0.043478260869565216,0.0,0.03125,0.0,0.04,0.043478260869565216,0.16666666666666666,0.041666666666666664,0.017543859649122806,0.0,1.0,0.0,0.0,0.043478260869565216,0.0,0.02857142857142857,0.023809523809523808,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.10204081632653061,0.0,0.0,0.0,0.07692307692307693,0.0,0.022727272727272728,0.0,0.0,0.13043478260869565,0.0,0.13043478260869565,0.0,0.03225806451612903,0.034482758620689655,0.0,0.01020408163265306,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
Trichophycus,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Didymaulyponomos,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.0,0.09523809523809523,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.2,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0425531914893617,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2857142857142857,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
Gyrophyllites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.043478260869565216,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Psammichnites,0.0,0.25,0.0,0.0,0.0,0.2222222222222222,0.0,0.08333333333333333,0.4,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.03225806451612903,0.0,0.6,0.0,0.0,0.15384615384615385,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.0,0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0.0
Taenidium,0.0,0.058823529411764705,0.0,0.125,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.02857142857142857,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.15384615384615385,0.07142857142857142,0.0,0.029411764705882353,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.375,0.0,0.045454545454545456,0.047058823529411764,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
