,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Fontanai,Phycodes,Archaeonassa,Katbergia,Catenichnus,Rosselia,Lorenzinia,Laevicyclus,Lophoctenium,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Loloichnus,Scolicia,Megagrapton,Ptychoplasma,Trichichnus,Termitichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Dactyloidites,Skolithos,Treptichnus,Helicodromites,Macanopsis,Unisulcus,Bifungites,Vagorichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Attaichnus,Planolites,Curvolithus,Halopoa,Zoophycos,Ctenopholeus,Neonereites,Chondrites,Trichophycus,Pholeus,Psammichnites,Parowanichnus,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Ellipsoideichnus,Teisseirei,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Monesichnus,Palaeophycus,Paleodictyon,Bergaueria,Asterosoma,Mixoteichichnus,Macaronichnus,Entradichnus,Thalassinoides,Diplichnites,Cylindricum,Biformites,Fuersichnus,Arachnostega,Tisoa,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Labyrintichnus,Circulichnis,Teichichnus,Ancorichnus,Compaginatichnus,Lingulichnus,Cochlichnus,Conichnus,Oldhamia
Bathichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belorhaphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergaueria,,,,,21.25,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,56.5,,,,,,,,,,17.0,,,,,,0.0,,,,,26.25,,,,,52.0,,,12.25,,,,,,,,,3.0,6.25,
Bichordites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biformites,33.0,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,62.0,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,12.0,,,,,,,,,
Bifungites,,,,,7.5,,,,,,,3.0,,,,,,,,,,,,,,,,3.5,,,6.5,,,,,0.0,,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bornichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooksella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calceoformites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camborygma,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capodistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardioichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catenichnus,,,,,25.0,,,,,,0.0,,,,,42.0,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,
Chagrinichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrites,,,28.166666666666668,,5.142857142857143,,,4.923076923076923,,,,,57.5,12.857142857142858,90.0,,13.0,,77.0,,80.0,67.0,,23.2,,66.0,,2.0,13.333333333333334,27.0,8.857142857142858,17.166666666666668,42.0,,,,,139.0,13.5,6.0,53.0,,1.6111111111111112,,,11.0,8.0,7.833333333333333,0.0,,,,,50.333333333333336,45.0,9.666666666666666,,,,,,,202.0,,11.2,93.0,,,,,,4.333333333333333,,,,,,,,17.5,,10.5,,,33.666666666666664,,,,2.0,,6.0
Circulichnis,,,236.0,,,,,,,,,,,62.0,,,37.0,,,,,,,,,,,48.0,,,,186.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,166.0,,,,,,,24.0,,,,,0.0,,,,,50.0,,
Cladichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climactichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlichnus,,,286.0,,18.25,,,5.2,170.0,,,,,14.666666666666666,,,13.0,211.0,,,,,,,,,,98.0,12.4,,4.222222222222222,99.0,,8.2,,,,,,,,,1.1428571428571428,6.0,,,,5.833333333333333,2.0,,53.5,,,,6.0,,,,,,14.0,,,,2.25,,3.0,,,,,18.6,3.375,,,6.6,49.0,,38.5,4.111111111111111,,38.666666666666664,,50.0,,,,,0.0,3.25,9.0
Compaginatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,13.5,,,,,,,,,,,,,,,,8.0,,,38.0,,,,,,,,,,,,,,,,,,,,13.5,,0.0,,,,
Conichnus,,,,,10.0,,,8.25,,,,,,,,84.5,,78.5,,,,,,,,,,,,,,102.5,,,,,,,,,,,56.0,2.75,24.5,,,,,,50.25,,,,,,,,,,7.166666666666667,,,,49.0,,6.25,,,,,11.428571428571429,10.5,,,,45.75,,,4.0,,5.5,,,,,,,3.25,0.0,
Conostichus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprinisphaera,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornulatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmorhaphe,,,6.75,19.0,44.666666666666664,,,37.0,,,,,,99.0,,,0.0,,,,,24.0,,,,79.0,,85.0,,,,223.0,,,,,,,,,16.5,,21.25,,,,,,13.0,,,,,,,,,,,,,,215.0,,24.25,,,,,,,203.0,,,,,,,13.0,,,,,37.0,,,,,13.0,,56.0
