,Isopodichnus,Pilichnus,Gyrochorte,Rhizocorallium,Dimorphichnus,Phycodes,Archaeonassa,Rosselia,Brooksella,Spongeliomorpha,Glockerichnus,Rusophycus,Syringomorpha,Arenicolites,Helminthopsis,Skolithos,Treptichnus,Torrowangea,Diplocraterion,Dictyodora,Climactichnites,Planolites,Zoophycos,Neonereites,Chondrites,Trichophycus,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Protovirgularia,Nereites,Palaeophycus,Streptichnus,Bergaueria,Thalassinoides,Diplichnites,Biformites,Didymaulichnus,Lockeia,Cruziana,Teichichnus,Nenoxites,Cochlichnus,Conichnus,Oldhamia
Stelloglyphus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptichnus,,,,,,,,,,,,,,,,,332.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
Strobilorhaphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syringomorpha,,,,,,,84.66666666666667,5.0,,,,28.833333333333332,0.0,,,,89.0,,12.5,,,50.666666666666664,,,,40.333333333333336,,63.666666666666664,,,,,,,69.0,,,,,,,,,9.666666666666666,,,,
Taenidium,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Tasselia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teichichnus,,,,,,,75.0,14.666666666666666,,,,67.33333333333333,9.666666666666666,,,,39.666666666666664,,15.333333333333334,,,24.6,,,,15.333333333333334,,27.0,,,16.0,,,,,,,,,,,,,0.0,,,,
Teisseirei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Termitichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassinoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
Tisoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrowangea,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,48.0,,,,23.0,,,,,,,
Treptichnus,,,,,,1.1818181818181819,4.333333333333333,94.0,,,,18.333333333333332,89.0,,,,0.0,,64.0,,,11.5,,36.666666666666664,,24.333333333333332,,12.666666666666666,,,,,6.666666666666667,48.666666666666664,3.230769230769231,332.0,10.142857142857142,,,,,,7.555555555555555,39.666666666666664,,,,2.25
Trichichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichophycus,,,,,,,44.333333333333336,45.333333333333336,,,,98.0,40.333333333333336,,,16.5,24.333333333333332,,15.333333333333334,,,10.333333333333334,,,,0.0,,11.666666666666666,,,,,,,,,,,,,,,,15.333333333333334,,,,
Tuberculichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unisulcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urohelminthoida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vagorichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgaichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volkichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walpia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangziichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zavitokichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoophycos,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
