,Steinichnus,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Phycodes,Archaeonassa,Katbergia,Catenichnus,Rosselia,Pramollichnus,Laevicyclus,Lophoctenium,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Scolicia,Megagrapton,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Augerinoichnus,Spirophycus,Treptichnus,Macanopsis,Bifungites,Naktodemasis,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Parataenidium,Cylindrichnus,Climactichnites,Phycosiphon,Sagittichnus,Planolites,Curvolithus,Halopoa,Zoophycos,Neonereites,Chondrites,Trichophycus,Pholeus,Psammichnites,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Paleodictyon,Bergaueria,Hormosiroidea,Asterosoma,Fucusopsis,Mixoteichichnus,Macaronichnus,Entradichnus,Thalassinoides,Psilonichnus,Phymatoderma,Diplichnites,Fuersichnus,Arachnostega,Virgaichnus,Hydrancylus,Spirodesmos,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Circulichnis,Walpia,Teichichnus,Ancorichnus,Compaginatichnus,Margaritichnus,Lingulichnus,Cochlichnus,Conichnus,Oldhamia
Calceoformites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camborygma,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capodistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardioichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catenichnus,,,,,,12.5,,,,,0.0,,,,,21.0,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,
Chagrinichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrites,,,,12.0,,3.5294117647058822,,21.333333333333332,,,,,,24.0,90.0,,,142.0,77.0,33.0,,116.0,,13.0,30.0,0.9230769230769231,,,51.5,,,,,10.0,,,,124.0,,,,1.7058823529411764,,,2.75,47.0,0.0,,,,,6.2,37.0,,,,,5.5,,6.6,,12.0,,,,,,,2.1904761904761907,,,47.0,,,,,,,97.0,,12.333333333333334,,,36.4,,,,,12.0,26.0,42.0
Circulichnis,,,,236.0,,,,,,,,,,62.0,,,37.0,,,,,,,48.0,,,,,186.0,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,166.0,,,,,,,,,24.0,,,,0.0,,,,,,,50.0,,
Cladichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climactichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlichnus,,,,23.0,,73.0,,8.666666666666666,,,,,,112.0,,,13.0,29.75,,36.25,,,,5.4,13.0,32.8,29.0,,22.714285714285715,8.2,,,,,,,,,,,131.0,5.631578947368421,24.0,58.0,,35.0,12.0,,214.0,,,58.333333333333336,,,,56.0,,,,5.533333333333333,,6.5,23.0,,34.0,,,,46.5,,,5.777777777777778,9.428571428571429,196.0,,,,26.0,14.0,,4.6,50.0,,62.0,,,67.0,,0.0,2.6,54.0
Compaginatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,27.0,,,,,,,,,,,,16.0,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,,0.0,,,,,
Conichnus,,,,33.0,,60.0,,14.0,,,,,,,,,,21.2,,33.0,,,,8.0,,50.333333333333336,,,146.0,,,,,,,,,,,,118.0,18.8,11.0,45.0,,,26.0,,201.0,,,40.5,,,,43.0,,,,14.0,,7.8,,,21.0,,,,40.0,,,5.25,,183.0,,,,,14.2,,2.2,,,43.25,,,54.0,,2.6,0.0,
Conostichus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprinisphaera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornulatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmorhaphe,,,,9.0,28.5,67.0,,55.5,,,,,,99.0,,,0.0,,59.0,,36.0,,,85.0,,,,,223.0,,,,,,,,,,,60.5,,28.333333333333332,,,,,,,,,,,,,,,,,,32.333333333333336,29.0,,,,,,,,203.0,,,,,,,,,13.0,,,,37.0,,,,,,,13.0,,
Cruziana,74.0,,32.0,22.0,,20.5,,18.4,,,,207.0,,,,2.3333333333333335,,5.7,,30.25,,,,4.25,,0.2978723404255319,,,15.333333333333334,,,,,31.2,,,,35.25,,194.0,107.0,3.75,,65.0,22.666666666666668,20.333333333333332,12.333333333333334,66.0,,,,30.2,,,,,,,,1.631578947368421,,12.5,15.666666666666666,,10.0,,124.0,,10.428571428571429,,,0.7142857142857143,,,,,,,6.0,108.0,0.0,,,8.142857142857142,98.5,,43.0,4.5,4.6,2.2,
Ctenopholeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curvolithus,,,,,,49.0,,22.0,3.6,,,,25.6,,,,,,,,,,,,,177.0,,,,,,,,,21.0,,49.0,27.833333333333332,,,,18.6,0.0,,8.142857142857142,,,,190.0,18.428571428571427,,34.8,,,,32.0,,13.6,20.0,,,36.0,,,,,,,69.0,,80.6,,,172.0,,,,,13.0,,,,,,19.0,,,,24.0,11.0,
Cylindrichnus,,,27.0,,,100.0,,43.0,14.333333333333334,,,9.666666666666666,30.0,,,44.5,,,,,,,104.0,12.0,,8.0,,,,,,,,3.75,,,,0.0,,53.0,,12.0,27.833333333333332,,14.857142857142858,,124.0,,,6.333333333333333,,30.6,,,,,,11.166666666666666,31.0,2.5,,,,4.0,,,,,9.166666666666666,,76.4,,,,,,,,15.5,,35.25,,,9.75,93.0,,,,,,
Cylindricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactyloidites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimonelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimoniobarax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
